Txn Date,Ref No./Cheque No.,Description,Credit,Debit
30-08-2026,CMS002938491850,CMS/CMS002938491850/SBI/RAZORPAY SOFTWARE PVT,24410.00,
29-08-2026,CMS002938491840,NEFT-RAZORPAY-CMS002938491840-SETTLEMENT,68348.00,
28-08-2026,CMS002938491830,RTGS/CMS002938491830/RAZORPAY PAYOUT setl_gold_030,34174.00,
27-08-2026,CMS002938491820,RAZORPAY PAYOUT CMS002938491820,78112.00,
26-08-2026,CMS002938491890,CMS/CMS002938491890/SBI/RAZORPAY SOFTWARE PVT,90317.00,
25-08-2026,CMS002938491875,NEFT-RAZORPAY-CMS002938491875-SETTLEMENT,35394.50,
24-08-2026,CMS002938491860,RTGS/CMS002938491860/RAZORPAY PAYOUT setl_Kjs9283jkd060,63466.00,
23-08-2026,CMS002938491845,RAZORPAY PAYOUT CMS002938491845,91537.50,
22-08-2026,CMS002938491830,CMS/CMS002938491830/SBI/RAZORPAY SOFTWARE PVT,36615.00,
21-08-2026,CMS002938491815,NEFT-RAZORPAY-CMS002938491815-SETTLEMENT,64686.50,
20-08-2026,SETLNOUTR910,RTGS/SETLNOUTR910/RAZORPAY PAYOUT setl_Kjs9283jkd910,78900.00,
19-08-2026,CMS002938491802,RAZORPAY PAYOUT CMS002938491802,44719.12,
18-08-2026,CMS002938491801,CMS/CMS002938491801/SBI/RAZORPAY SOFTWARE PVT,97640.00,
17-08-2026,CMS002938491851,NEFT-RAZORPAY-CMS002938491851-SETTLEMENT,27827.40,
16-08-2026,CMS002938491841,RTGS/CMS002938491841/RAZORPAY PAYOUT setl_gold_041,71765.40,
15-08-2026,CMS002938491831,RAZORPAY PAYOUT CMS002938491831,37591.40,
14-08-2026,CMS002938491821,CMS/CMS002938491821/SBI/RAZORPAY SOFTWARE PVT,81529.40,
13-08-2026,SETLNOUTR910,NEFT-RAZORPAY-SETLNOUTR910-SETTLEMENT,78900.00,
12-08-2026,CMS002938491802,RTGS/CMS002938491802/RAZORPAY PAYOUT setl_gold_002,44719.12,
11-08-2026,CMS002938491801,RAZORPAY PAYOUT CMS002938491801,97640.00,
10-08-2026,CMS002938491891,CMS/CMS002938491891/SBI/RAZORPAY SOFTWARE PVT,10984.50,
09-08-2026,CMS002938491876,NEFT-RAZORPAY-CMS002938491876-SETTLEMENT,39056.00,
08-08-2026,CMS002938491861,RTGS/CMS002938491861/RAZORPAY PAYOUT setl_Kjs9283jkd061,67127.50,
07-08-2026,CMS002938491814,RAZORPAY PAYOUT CMS002938491814,40000.00,
06-08-2026,CMS002938491813,CMS/CMS002938491813/SBI/RAZORPAY SOFTWARE PVT,60000.00,
30-08-2026,CMS002938491846,NEFT-RAZORPAY-CMS002938491846-SETTLEMENT,12205.00,
29-08-2026,CMS002938491831,RTGS/CMS002938491831/RAZORPAY PAYOUT setl_Kjs9283jkd031,40276.50,
28-08-2026,CMS002938491816,RAZORPAY PAYOUT CMS002938491816,68348.00,
27-08-2026,CMS002938491811,CMS/CMS002938491811/SBI/RAZORPAY SOFTWARE PVT,50000.00,
26-08-2026,CMS002938491804,NEFT-RAZORPAY-CMS002938491804-SETTLEMENT,33978.72,
25-08-2026,CMS002938491803,RTGS/CMS002938491803/RAZORPAY PAYOUT setl_Kjs9283jkd903,124491.00,
24-08-2026,CMS002938491852,RAZORPAY PAYOUT CMS002938491852,31244.80,
23-08-2026,CMS002938491842,CMS/CMS002938491842/SBI/RAZORPAY SOFTWARE PVT,75182.80,
22-08-2026,CMS002938491832,NEFT-RAZORPAY-CMS002938491832-SETTLEMENT,41008.80,
21-08-2026,CMS002938491822,RTGS/CMS002938491822/RAZORPAY PAYOUT setl_gold_022,84946.80,
20-08-2026,CMS002938491812,RAZORPAY PAYOUT CMS002938491812,50772.80,
19-08-2026,CMS002938491811,CMS/CMS002938491811/SBI/RAZORPAY SOFTWARE PVT,50000.00,
18-08-2026,CMS002938491804,NEFT-RAZORPAY-CMS002938491804-SETTLEMENT,33978.72,
17-08-2026,CMS002938491803,RTGS/CMS002938491803/RAZORPAY PAYOUT setl_gold_003,124491.00,
16-08-2026,CMS002938491892,RAZORPAY PAYOUT CMS002938491892,14646.00,
15-08-2026,CMS002938491877,CMS/CMS002938491877/SBI/RAZORPAY SOFTWARE PVT,42717.50,
14-08-2026,CMS002938491862,NEFT-RAZORPAY-CMS002938491862-SETTLEMENT,70789.00,
13-08-2026,CMS002938491812,RTGS/CMS002938491812/RAZORPAY PAYOUT setl_Kjs9283jkd912,97640.00,
12-08-2026,CMS002938491847,RAZORPAY PAYOUT CMS002938491847,15866.50,
11-08-2026,CMS002938491832,CMS/CMS002938491832/SBI/RAZORPAY SOFTWARE PVT,43938.00,
10-08-2026,CMS002938491817,NEFT-RAZORPAY-CMS002938491817-SETTLEMENT,72009.50,
09-08-2026,CMS002938491806,RTGS/CMS002938491806/RAZORPAY PAYOUT setl_Kjs9283jkd906,73230.00,
08-08-2026,CMS002938491805,RAZORPAY PAYOUT CMS002938491805,50000.00,
07-08-2026,CMS002938491853,CMS/CMS002938491853/SBI/RAZORPAY SOFTWARE PVT,34662.20,
06-08-2026,CMS002938491843,NEFT-RAZORPAY-CMS002938491843-SETTLEMENT,78600.20,
30-08-2026,CMS002938491833,RTGS/CMS002938491833/RAZORPAY PAYOUT setl_gold_033,44426.20,
29-08-2026,CMS002938491823,RAZORPAY PAYOUT CMS002938491823,10252.20,
28-08-2026,CMS002938491813,CMS/CMS002938491813/SBI/RAZORPAY SOFTWARE PVT,54190.20,
27-08-2026,CMS002938491806,NEFT-RAZORPAY-CMS002938491806-SETTLEMENT,73230.00,
26-08-2026,CMS002938491805,RTGS/CMS002938491805/RAZORPAY PAYOUT setl_gold_005,50000.00,
25-08-2026,CMS002938491893,RAZORPAY PAYOUT CMS002938491893,18307.50,
24-08-2026,CMS002938491878,CMS/CMS002938491878/SBI/RAZORPAY SOFTWARE PVT,46379.00,
